chunk_size,run_index,question_id,input_tokens,output_tokens,latency_seconds,correct,failure_label
500,1,q001,839,4,2.84,0,retrieval_failure_honest
500,1,q002,833,4,1.29,0,retrieval_failure_honest
500,1,q003,823,24,1.09,0,generation_failure
500,1,q004,731,4,1.21,0,retrieval_failure_honest
500,1,q005,832,4,0.76,0,retrieval_failure_honest
500,1,q006,824,4,1.18,0,retrieval_failure_honest
500,1,q007,692,12,1.13,0,retrieval_failure_hallucinated
500,1,q008,834,4,0.75,0,retrieval_failure_honest
500,1,q009,812,4,0.92,0,retrieval_failure_honest
500,1,q010,780,51,1.37,0,generation_failure
500,1,q011,891,4,1.13,0,retrieval_failure_honest
500,1,q012,869,4,0.83,0,retrieval_failure_honest
500,1,q013,862,4,0.93,0,retrieval_failure_honest
500,1,q014,890,4,0.78,0,retrieval_failure_honest
500,1,q015,932,4,0.88,0,retrieval_failure_honest
500,1,q016,887,31,1.12,0,retrieval_failure_hallucinated
500,1,q017,875,4,0.7,0,retrieval_failure_honest
500,1,q018,882,4,0.86,0,retrieval_failure_honest
500,1,q019,898,4,0.78,0,generation_refusal
500,1,q020,915,20,1.74,0,retrieval_failure_hallucinated
500,1,q021,923,25,1.18,0,generation_failure
500,1,q022,777,27,1.0,1,grounded_correct
500,1,q023,812,14,0.78,0,retrieval_failure_hallucinated
500,1,q024,973,31,1.23,1,grounded_correct
500,1,q025,799,102,1.93,0,retrieval_failure_hallucinated
500,2,q001,839,4,0.75,0,retrieval_failure_honest
500,2,q002,833,4,1.42,0,retrieval_failure_honest
500,2,q003,823,26,0.93,0,generation_failure
500,2,q004,731,4,0.74,0,retrieval_failure_honest
500,2,q005,832,4,0.81,0,retrieval_failure_honest
500,2,q006,824,4,0.66,0,retrieval_failure_honest
500,2,q007,692,12,1.11,0,retrieval_failure_hallucinated
500,2,q008,834,4,3.2,0,retrieval_failure_honest
500,2,q009,812,4,0.84,0,retrieval_failure_honest
500,2,q010,780,42,1.09,0,generation_failure
500,2,q011,891,4,0.88,0,retrieval_failure_honest
500,2,q012,869,4,0.76,0,retrieval_failure_honest
500,2,q013,862,4,3.2,0,retrieval_failure_honest
500,2,q014,890,4,0.74,0,retrieval_failure_honest
